date,network,daypart,viewers
201402,D,"M,T,W,R,F 6:00 PM - 8:00 PM",197
201402,E,"M,T,W,R,F 6:00 PM - 8:00 PM",530
201402,A,"M,T,W,R,F 4:00 PM - 6:00 PM",231
201402,B,"M,T,W,R,F 4:00 PM - 6:00 PM",420
201402,C,"M,T,W,R,F 4:00 PM - 6:00 PM",758
201402,D,"M,T,W,R,F 4:00 PM - 6:00 PM",138
201402,E,"M,T,W,R,F 4:00 PM - 6:00 PM",407
201402,A,"M,T,W,R,F 1:00 PM - 4:00 PM",189
201402,B,"M,T,W,R,F 1:00 PM - 4:00 PM",345
201402,C,"M,T,W,R,F 1:00 PM - 4:00 PM",663
201402,D,"M,T,W,R,F 1:00 PM - 4:00 PM",140
201402,E,"M,T,W,R,F 1:00 PM - 4:00 PM",307
201402,A,"M,T,W,R,F 10:00 AM - 1:00 PM",144
201402,B,"M,T,W,R,F 10:00 AM - 1:00 PM",371
201402,C,"M,T,W,R,F 10:00 AM - 1:00 PM",462
201402,D,"M,T,W,R,F 10:00 AM - 1:00 PM",172
201402,E,"M,T,W,R,F 10:00 AM - 1:00 PM",264
201402,A,"M,T,W,R,F 6:00 AM - 10:00 AM",101
201402,B,"M,T,W,R,F 6:00 AM - 10:00 AM",256
201402,C,"M,T,W,R,F 6:00 AM - 10:00 AM",242
201402,D,"M,T,W,R,F 6:00 AM - 10:00 AM",125
201402,E,"M,T,W,R,F 6:00 AM - 10:00 AM",146
201402,A,"S,Su 1:00 PM - 8:00 PM",371
201402,B,"S,Su 1:00 PM - 8:00 PM",627
201402,C,"S,Su 1:00 PM - 8:00 PM",1377
201402,D,"S,Su 1:00 PM - 8:00 PM",231
201402,E,"S,Su 1:00 PM - 8:00 PM",719
201403,A,"S,Su 8:00 AM - 1:00 PM",242
201403,B,"S,Su 8:00 AM - 1:00 PM",467
201403,C,"S,Su 8:00 AM - 1:00 PM",1016
201403,D,"S,Su 8:00 AM - 1:00 PM",185
201403,E,"S,Su 8:00 AM - 1:00 PM",425
201403,A,"S,Su 6:00 AM - 8:00 AM",140
201403,B,"S,Su 6:00 AM - 8:00 AM",0
201403,C,"S,Su 6:00 AM - 8:00 AM",285
201403,D,"S,Su 6:00 AM - 8:00 AM",137
201403,E,"S,Su 6:00 AM - 8:00 AM",0
201403,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",254
201403,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",279
201403,C,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",451
201403,D,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",174
201403,E,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",329
201403,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",533
201403,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",535
201403,C,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",879
201403,D,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",282
201403,E,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",605
201403,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",764
